authors,published_parsed,updated_parsed,primary_category,tagged_categories,weights,pages,references
"[u'Caren Marzban', u'Ulvi Yurtsever']","time.struct_time(tm_year=2011, tm_mon=5, tm_mday=12, tm_hour=21, tm_min=24, tm_sec=22, tm_wday=3, tm_yday=132, tm_isdst=0)","time.struct_time(tm_year=2011, tm_mon=5, tm_mday=12, tm_hour=21, tm_min=24, tm_sec=22, tm_wday=3, tm_yday=132, tm_isdst=0)",stat.OT,[u'stat.OT'],1.0,28,23
"[u'Peter Bubenik', u'Tane Vergili']","time.struct_time(tm_year=2018, tm_mon=2, tm_mday=22, tm_hour=15, tm_min=56, tm_sec=39, tm_wday=3, tm_yday=53, tm_isdst=0)","time.struct_time(tm_year=2018, tm_mon=2, tm_mday=22, tm_hour=15, tm_min=56, tm_sec=39, tm_wday=3, tm_yday=53, tm_isdst=0)",math.AT,"[u'math.AT', u'math.GN', u'55N99, 54A05, 18A25']",1.0,30,35
[u'Alexander Reznikov'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=25, tm_hour=13, tm_min=4, tm_sec=58, tm_wday=1, tm_yday=25, tm_isdst=0)","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=25, tm_hour=13, tm_min=4, tm_sec=58, tm_wday=1, tm_yday=25, tm_isdst=0)",math.DG,"[u'math.DG', u'math.AG', u'math.FA', u'math.GT', u'math.OA', u'math.RT', u'math.SG']",0.0,126,104
"[u'Seth Lloyd', u'Silvano Garnerone', u'Paolo Zanardi']","time.struct_time(tm_year=2014, tm_mon=8, tm_mday=13, tm_hour=19, tm_min=55, tm_sec=58, tm_wday=2, tm_yday=225, tm_isdst=0)","time.struct_time(tm_year=2015, tm_mon=12, tm_mday=15, tm_hour=21, tm_min=20, tm_sec=23, tm_wday=1, tm_yday=349, tm_isdst=0)",quant-ph,[u'quant-ph'],0.5,20,41
[u'Michele Cirafici'],"time.struct_time(tm_year=2015, tm_mon=12, tm_mday=3, tm_hour=17, tm_min=35, tm_sec=26, tm_wday=3, tm_yday=337, tm_isdst=0)","time.struct_time(tm_year=2015, tm_mon=12, tm_mday=3, tm_hour=17, tm_min=35, tm_sec=26, tm_wday=3, tm_yday=337, tm_isdst=0)",hep-th,"[u'hep-th', u'math-ph', u'math.AT', u'math.MP']",0.0,33,42
"[u'Vic Patrangenaru', u'Peter Bubenik', u'Robert L. Paige', u'Daniel Osborne']","time.struct_time(tm_year=2018, tm_mon=4, tm_mday=26, tm_hour=19, tm_min=30, tm_sec=50, tm_wday=3, tm_yday=116, tm_isdst=0)","time.struct_time(tm_year=2018, tm_mon=4, tm_mday=26, tm_hour=19, tm_min=30, tm_sec=50, tm_wday=3, tm_yday=116, tm_isdst=0)",stat.ME,"[u'stat.ME', u'math.AT']",0.3333333333333333,16,61
"[u'Lin Yan', u'Yaodong Zhao', u'Paul Rosen', u'Carlos Scheidegger', u'Bei Wang']","time.struct_time(tm_year=2018, tm_mon=6, tm_mday=22, tm_hour=0, tm_min=44, tm_sec=23, tm_wday=4, tm_yday=173, tm_isdst=0)","time.struct_time(tm_year=2018, tm_mon=6, tm_mday=22, tm_hour=0, tm_min=44, tm_sec=23, tm_wday=4, tm_yday=173, tm_isdst=0)",cs.CG,"[u'cs.CG', u'cs.GR']",0.25,19,77
"[u'Bartosz Zielinski', u'Mateusz Juda', u'Matthias Zeppelzauer']","time.struct_time(tm_year=2018, tm_mon=2, tm_mday=13, tm_hour=20, tm_min=49, tm_sec=1, tm_wday=1, tm_yday=44, tm_isdst=0)","time.struct_time(tm_year=2018, tm_mon=2, tm_mday=22, tm_hour=11, tm_min=38, tm_sec=1, tm_wday=3, tm_yday=53, tm_isdst=0)",stat.ML,"[u'stat.ML', u'cs.LG', u'math.AT']",0.5,10,85
[u'Frol Zapolsky'],"time.struct_time(tm_year=2009, tm_mon=3, tm_mday=15, tm_hour=18, tm_min=42, tm_sec=2, tm_wday=6, tm_yday=74, tm_isdst=0)","time.struct_time(tm_year=2009, tm_mon=3, tm_mday=15, tm_hour=18, tm_min=42, tm_sec=2, tm_wday=6, tm_yday=74, tm_isdst=0)",math.GN,"[u'math.GN', u'math.FA', u'28C15; 57M50']",0.0,26,10
"[u'Kelin Xia', u'Zhixiong Zhao', u'Guo-Wei Wei']","time.struct_time(tm_year=2015, tm_mon=3, tm_mday=31, tm_hour=20, tm_min=47, tm_sec=59, tm_wday=1, tm_yday=90, tm_isdst=0)","time.struct_time(tm_year=2015, tm_mon=3, tm_mday=31, tm_hour=20, tm_min=47, tm_sec=59, tm_wday=1, tm_yday=90, tm_isdst=0)",q-bio.BM,[u'q-bio.BM'],0.5,22,38
